Index	CommitMessage	Classification
0	compiler fix deprecation warning jasmine log a warning when there a describe with no test these change fix one such case in the compiler that happens when the test are run against window pr close 	test
1	docsinfra upgrade cli command doc source to aaebf updating angularmaster from clibuildsmaster relevant change in commit range modified helpbuildjson helpgeneratejson pr close 	build
2	form property renaming safe code this fix property renaming related issue in advanced closure compiler optimization pr close 	fix
3	compiler specify angularcore a peer dependency the compiler generates code for the angular runtime in angularcore which ha to be the exact same version a otherwise there may be version skew between what the compiler generates and what the runtime support this would result in hard to diagnose problem at runtime by adding a peer dependency for angularcompiler on angularcore we can let the package manager report an error npm or warning npm yarn during installation to signal that the set of package is incompatible pr close 	refactor
4	core support typescript add support for typescript pr close 	feat
5	form add untypedformbuilder this wa intended to be part of but wa left out add a new class for use in migration pr close 	fix
6	router use helper function to throw nomatch this update match the other location where nomatch is thrown pr close 	refactor
7	serviceworker emit a notification when the service worker is already up to date after check when the service worker check for an update and find that the version on the server is the same a the version locally installed it currently noops this change introduces an event which it emits in this situation which notifies client a check ha occurred without error and no update wa found pr close 	feat
8	zonejs defineproperties should also set symbol prop close fix defineproperties patch not set symbol prop issue coauthoredby varomodtvaromodtusersnoreplygithubcom coauthoredby andrewkushnirandrewkushnirusersnoreplygithubcom pr close 	fix
9	router remove special logic for hybrid apps this commit remove special undocumented logic in the router code that is meant to prevent duplicate navigation that result from location syncs in angularjsangular hybrid application the duplicate navigation can occur when both the router and the angularjs sync code detect a location change via a popstatehashchange event when this happens the angular router schedule a navigation to sync itself with the browser but the hybrid listener may also schedule an additional navigation there are a few reason this logic should not be included in the router this special logic is not tree shakeable so it introduces a bundle size cost for all application most of which dont need it there have been many update to the routing pipeline to tolerate duplicate navigation that is duplicate navigation can happen and routing should still complete successfully the logic is really in the wrong place the hybrid sync code should be the location to handle this if duplicate navigation are meant to be avoided the hybrid sync code should have handling to not trigger duplicate navs this logic also used to exist because the mock location helper used for test incorrectly triggered popstate event during router navigation in order to avoid unexpected behavior in test this logic needed to be added this incorrect mocking may also have been put in place because the upgrade module would see a location change event and trigger a duplicate navigation the location mock ha since been updated to match real browser behavior so this is no longer necessary the upgrade module ha also been updated to not trigger duplicate navigation the following commits are related to this side note the settimeout in the location change listener is used to ensure the ordering of duplicate navigation wa consistent you can see that the logic being removed here expects the imperative navigation to precede the popstatehashchange with the removal of this code the settimeout no longer serf a purpose however it ha been found that test can rely on this behavior incorrectly because they expect the navigation to be complete but in reality it hasnt even started because the test ha not flushed the timeout removing the timeout would be a breaking change a a result pr close 	refactor
